"Plot Title: 10350004"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350004, SEN S/N: 10350004)","Intensity, Lux (LGR S/N: 10350004, SEN S/N: 10350004)","Good Battery (LGR S/N: 10350004)","Coupler Attached (LGR S/N: 10350004)","Host Connected (LGR S/N: 10350004)","Stopped (LGR S/N: 10350004)","End Of File (LGR S/N: 10350004)"
380,12/16/2019 03:10:00 PM,11.722,1894.5,,,,,
381,12/16/2019 03:20:00 PM,11.334,1722.2,,,,,
382,12/16/2019 03:30:00 PM,11.431,1550.0,,,,,
383,12/16/2019 03:40:00 PM,11.236,1291.7,,,,,
384,12/16/2019 03:50:00 PM,11.139,1248.6,,,,,
385,12/16/2019 04:00:00 PM,10.651,710.4,,,,,
386,12/16/2019 04:10:00 PM,10.357,430.6,,,,,
387,12/16/2019 04:20:00 PM,9.768,226.0,,,,,
388,12/16/2019 04:30:00 PM,9.571,86.1,,,,,
389,12/16/2019 04:40:00 PM,9.373,21.5,,,,,
390,12/16/2019 04:50:00 PM,8.978,0.0,,,,,
391,12/16/2019 05:00:00 PM,9.275,0.0,,,,,
392,12/16/2019 05:10:00 PM,8.879,0.0,,,,,
393,12/16/2019 05:20:00 PM,8.779,0.0,,,,,
394,12/16/2019 05:30:00 PM,8.680,0.0,,,,,
395,12/16/2019 05:40:00 PM,8.282,0.0,,,,,
396,12/16/2019 05:50:00 PM,7.782,0.0,,,,,
397,12/16/2019 06:00:00 PM,7.481,0.0,,,,,
398,12/16/2019 06:10:00 PM,7.481,0.0,,,,,
